id,distributor,url,title,developer,package_name,title_Xpath
38,Google Play,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.creator,YouTube Studio,Google LLC,com.google.android.apps.youtube.creator,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
39,Google Play,https://play.google.com/store/apps/details?id=com.google.android.youtube.tvunplugged,YouTube TV: Live TV & more,Google LLC,com.google.android.youtube.tvunplugged,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
40,Google Play,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music,YouTube Music,Google LLC,com.google.android.apps.youtube.music,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
41,Google Play,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.kids,YouTube Kids,Google LLC,com.google.android.apps.youtube.kids,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
42,Google Play,https://play.google.com/store/apps/details?id=com.google.android.youtube.tv,YouTube for Android TV,Google LLC,com.google.android.youtube.tv,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
43,Google Play,https://play.google.com/store/apps/details?id=com.uplayonline.youtubers,Youtubers Life: Gaming Channel - Go Viral!,UPLAY Online,com.uplayonline.youtubers,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
44,Google Play,https://play.google.com/store/apps/details?id=com.alexopoulos.vlasis.youtubeminimizerclassic,Minimizer for YouTube Classic - Background Music,Vlasis Alexopoulos,com.alexopoulos.vlasis.youtubeminimizerclassic,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
45,Google Play,https://play.google.com/store/apps/details?id=com.google.android.youtube,YouTube,Google LLC,com.google.android.youtube,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
46,Google Play,https://play.google.com/store/apps/details?id=com.giveaway.pickerforyoutube,Giveaway Picker for Youtube,MOBIVERSITE YAZILIM BILISIM REKLAM VE DANISMANLIK,com.giveaway.pickerforyoutube,/html/body/div/div[4]/c-wiz/div/div[2]/div/div/main/c-wiz[1]/c-wiz[1]/div/div[2]/div/div[1]/c-wiz[1]/h1/span
47,F-Droid,https://f-droid.org/en/packages/org.thiolliere.youtubestream/,'YouTube Stream
